area,caracteristicas,descripcion,estrato,numero_baños,numero_habitaciones,precio,tipo_inmueble,tipo_operacion,titulo,ubicacion
71 m²,"Tanque de agua,Agua,Gas natural","VENDO APARTAMENTO  UBICADO A MEDIA CUADRA DE LA ENTRADA PRINCIPAL DE LA UNAD, CUENTAN CON EXCELENTE SERVICIO DE TRANSPORTE PARA TODA LA CIUDAD, SECTOR, CON BUENA PROYECCION Y VALORIZACION, CERCA AL BATALLON, TERMINAL DE TRANSPORTE NUEVO.

El apartamento consta de: Sala comedor,cocina, zona de ropas, patio, tres habitaciones, baño privado, baño social, bodega, pisos en porcelanato, cuenta con punto para calentador de paso, y conecciones para lavadora.

Servicios de agua, luz, gas natural,estrato 3
Área construida 71.72 mts2
Valor Venta: $170.000.000
CONTACTO: ",3,2 baños,3 habitaciones,"$ 170.000.000
                        ",Apartamento,Venta,Apartamento en venta en Manzanares,"Manzanares, Tunja, Tunja, Boyacá "
,"Parqueadero,Patio,Gas natural,Electricidad,Cocina integral,Tanque de agua,Agua","AGRADABLE CASA  UBICADA EN EL BARRIO LOS ANDES DE LA CIUDAD DE TUNJA, CERCA AL COLEGIO INEM, CAI DE POLICIA DEL BARRIO, A TRES CUADRAS DE LA CARRERA 11, UNIVERSIDAD JUAN DE CASTELLANOS, ALMACEN PARAISO.

Casa de dos pisos distribuida así: Primer piso; Garaje amplio,  Sala principal, sala auxiliar o estar, comedor, cocina integral, cuarto de despensa, patio de ropas,cuarto y baño de servicio, baño social. Segundo piso: estudio con mueble para biblioteca, tres habitaciones dos  con closet, un baño social, la casa cuenta con muy buena luz natural, acogedora y cálida.
pisos en Cerámica, y retal de marmol.

Servicios de  agua, luz, gas natural, estrato 3
 Area  de lote 112mts2
Área construida: 148mts2

Valor Venta: $ 260.000.000

CONTACTO: ",3,3 baños,3 habitaciones,"$ 260.000.000
                        ",Casa,Venta,Casa en venta en Paraiso,"Paraiso, Tunja, Tunja, Boyacá "
42 m²,"Cocina integral,Gas natural,Tanque de agua,Agua","VENDO APARTAESTUDIO EN EL SECTOR DE LAS NIEVES, SOBRE LA AVENIDA MALDONADO, CERCA DE EL CENTRO HISTORICO DE TUNJA. COLEGIO SALECIANO, PLAZOLETA DE LAS NIEVES.

El apartaestudio esta en el piso 3°, el edificio cuenta con ascensor, puerta de seguridad, citofonia, consta de: una habitacion con closet, un baño, sala comedor, cocina integral, zona de ropas, calentador de paso.

servicios de: agua, luz, gas natural, estrato 4
Área construida: 42mts2.
Valor Venta: $ 150.000.000 negociable

CONTACTO: ",4,1 baño,1 habitación,"$ 150.000.000
                        ",Apartamento,Venta,Apartamento en venta en Las Nieves,"Las Nieves, Tunja, Tunja, Boyacá "
59 m²,"Parqueadero,Tanque de agua,Agua,Cocina integral,Gas natural","CONFORTABLE APARTAMENTO UBICADO EN LA ENTRADA DEL BARRIO MESOPOTAMIA, CERCA A LA AVENIDA NORTE, CENTRO COMERCIAL LA SEXTA, CAMARA DE COMERCIO, UPTC.

Vendo Apartamento en un Quinto piso con ascensor, celaduria, garaje.
El apartamento consta de: Sala comedor, cocina integral, zona de ropas, dos habitaciones con closet, baño privado, baño social, pisos en madera laminada, calentador de paso, cortinas

Servicios de agua, luz, gas natural estrato 5
Área: 59mts2
Valor Venta: $ 235.000.000

CONTACTO ",5,2 baños,2 habitaciones,"$ 235.000.000
                        ",Apartamento,Venta,Apartamento en venta en La Pradera,"La Pradera, Tunja, Tunja, Boyacá "
28 m²,"Cocina integral,Tanque de agua,Agua,Vista panorámica,Gas natural","VENDO APARTAESTUDIO UBICADO AL NORTE DE TUNJA, MUY CERCA AL CENTRO COMERCIAL VIVA, CAMPUS DE LA UNIVERSIDAD SANTO TOMAS, AVENIDA UNIVERSITARIA, CANCEROLOGICO DE TUNJA, EPS.

El apartaestudio consta de : Sala comedor, una habitacion con closet, un baño con con division en vidrio, cocina integral, zona de ropas, excelente luz natural,pisos en madera laminada, calentador de paso, el edificio cuenta con ascensor, citofonia, acceso con tarjeta.

Servicios de: agua, luz, gas natural, estrato 5
Area: 28 mts2
Valor venta: $150.000.000

CONTACTO: ",5,1 baño,1 habitación,"$ 150.000.000
                        ",Apartamento,Venta,Apartamento en venta en La Esmeralda,"La Esmeralda, Tunja, Tunja, Boyacá "
22.374 m²,Parqueadero,"PROPIEDAD INMEJORABLE AL SUR DE TUNJA 

Area urbanizada de 22.374m2  

a dos minutos de la variante Bogotá - Tunja y 5 minutos de la antigua via.

 

La propiedad es privilegiada por su tamaño y el trafico de población gracias al gran desarrollo nacional del Parque Agroalimentario de Tunja.

 

El predio permite el desarrollo de proyectos industriales de bodegas y/o vivienda VIS y no VIS 

 

Se escuchan ofertas! KV

",1,1 baño,1 habitación,"$ 8.949.600.000
                        ",Lote,Venta,Lote en venta en San Francisco,"San Francisco, Tunja, Tunja, Boyacá "
130 m²,"Parqueadero,Balcón,Jacuzzi,Patio,Alarma,Chimenea,Electricidad,Internet,Cocina integral,Vista panorámica,Tanque de agua,Gas natural,Agua,Terraza","Excelente oportunidad, vendemos casa en conjunto cerrado totalmente nueva (sin estrenar) en conjunto Arboleda Real, cerca a Unicentro, Clínica Medilaser y Green Hills, con seguridad privada 24 horas. La casa cuenta con 3 pisos, son 130 Mts construidos, distribuidos así: Entrada con garaje cubierto privado y antejardin, 1er piso: Sala comedor (grande) cocina integral tipo americana amplia, patio de ropas cubierto, zona de TV y un baño. 2do Piso: 3 habitaciones con closet, zona de estudio o TV en el hall y un baño. 3er Piso: Habitación principal muy amplia con baño privado el cual cuenta con Jacuzzi, closet grande, zona de vestier y balcón, rodeado de vista hermosa de montañas silvestres.  Oportunidad!",4,3 baños,4 habitaciones,"$ 510.000.000
                        ",Casa,Venta,Casa en venta en Los Parques,"Los Parques, Tunja, Tunja, Boyacá "
36 m²,"Parqueadero,Vista panorámica,Gas natural,Terraza,Cocina integral,Tanque de agua,Agua","VENDO AMPLIO APARTAESTUDIO, UBICADO EN UN EXCELENTE SECTOR DE ALTA VALORIZACION, CERCA A CENTROS COMERCIALES COMO UNICENTRO, BULEVAR, ALMACENES MAKRO, COLEGIO VILLA FONTANA, ESTADIO, PISCINA OLÍMPICA, BUEN SERVICIO SERVICIO DE TRANSPORTE PÚBLICO, Y CON BONITOS ESPACIOS PEATONALES PARA DAR UN AGRADABLE CAMINATA.

El apartaestudio consta de: cocina integral, zona de ropas, sala comedor, habitacion con closet, baño con division en vidrio, ducha tipo lluvia, calentador de paso, terraza, vista panoramica,  pisos en madera laminada, cortinas black out,  el edificio tiene ascensor, acceso con chip, parqueadero con monta coche, bodega, zonas comunes, salón social, zona BBQ.
Servicios de: Agua, luz, gas natural, estrato 5

Área de apartaestudio: 36.58mts2
Área de terraza : 22.798. mts2
Área de bodega: 2.96mts2
Valor Venta: $ 198.000.000
CONTACTO: ",5,36 m²,1 baño,"$ 198.000.000
                        ",Apartamento,Venta,Apartamento en venta en Sauces de la Prodera,"Sauces de la Prodera, Tunja, Tunja, Boyacá "
354 m²,,"Casa/bodega con un área de 354,07 m² localizada en el barrio San Francisco. Consta de 3 pisos divididos de la siguiente manera: En el piso 1 hay una Bodega amplia con baño. En el piso 2 tiene un salón con espacio exclusivo (balcón). En el piso 3 hay un apartamento con 2 habitaciones, closet, un baño privado y un baño social, un cuarto de estudio, sala-comedor, espacio exclusivo (balcón) y patio. La propiedad se encuentra aledaña a la Plaza del Mercado del Sur, el sector es usado especialmente para bodegas industriales, cercano se encuentra un CAI de la Policía Nacional, también tiene varias salidas a la ciudad o vías principales.",3,2 baños,3 habitaciones,"$ 530.427.129
                        ",Casa,Venta,Casa en venta en San Francisco,"San Francisco, Tunja, Boyacá "
,,"¡Aprovecha esta gran oportunidad! Vendo casa con local en una calle muy comercial y en pleno desarrollo, cerca de la Avenida Oriental. La propiedad cuenta con excelente iluminación natural y se distribuye en tres niveles. En el primer nivel, se encuentra un amplio local con un cuarto auxiliar, cocina y baño independiente. En el segundo nivel, tres habitaciones con dos baños y patio de ropas. En el último nivel, dos habitaciones amplias con baño. No pierdas la oportunidad de adquirir esta propiedad con un gran potencial comercial y de desarrollo. ¡Contáctame para más información!",Venta,2 baños,3 habitaciones,"$ 187.000.000
                        ",Casa,122 m²,Casa en venta en Los Parques,"Los Parques, Tunja, Tunja, Boyacá "
,,"Se vende casa esquinera de 2 niveles en una ubicación privilegiada, cerca del Colegio Inem y con fácil acceso a transporte público. A solo 7 minutos del centro histórico, esta vivienda cómoda consta de sala comedor, baño social, cocina, patio de ropas y una habitación en el primer nivel. En el segundo nivel, se encuentran 3 habitaciones y 1 baño. Además, cuenta con una zona de parqueo. ¡No pierdas la oportunidad de adquirir esta casa en una excelente ubicación y con todas las comodidades que necesitas para vivir cómodamente!",Venta,2 baños,3 habitaciones,"$ 160.000.000
                        ",Casa,92 m²,Casa en venta en Tunja,"Tunja, Tunja, Boyacá "
,,"Se vende un amplio apartamento nuevo cerca de la Universidad Juan de Castellanos, el almacén Paraíso y una zona comercial, además de estar cerca de la avenida Oriental. Consta de 3 habitaciones con closet, una sala comedor con excelente iluminación y zona de estudio, 2 baños (uno en la habitación principal y otro social), cocina integral y zona de lavado de ropa. Incluye parqueadero. ¡Aprovecha esta excelente oportunidad para inversión o vivir!",Venta,2 baños,3 habitaciones,"$ 320.000.000
                        ",Apartamento,102 m²,Apartamento en venta en Los Parques,"Los Parques, Tunja, Tunja, Boyacá "
,,"Imperdible, se vende apartamento para estrenar a pocos pasos de la Universidad Santo Tomás , del centro comercial Unicentro  y del C.C Viva en un sector exclusivo y comercial.
Consta de 2 habitaciones con closets,2 baños , uno en la habitación principal y otro social, sala comedor con excelente vista a la Universidad y a las casas modernas igualmente cocina integral tipo americana con barra. Adicionalmente, cuenta con su parqueadero propio.
El conjunto cuenta con las siguientes zonas sociales: zona bbq, parque infantil, salon de juegos, gimnasio sala de cine,salon social sauna y jacuzzi.",Venta,2 baños,2 habitaciones,"$ 245.000.000
                        ",Apartamento,52 m²,Apartamento en venta en Remansos de Santa Ines,"Remansos de Santa Ines, Tunja, Tunja, Boyacá "
,,"¡Excelente oportunidad! Se vende una espectacular casa esquinera con una vista de lujo a la ciudad. La ubicación es inmejorable, ya que pasa cerca del transporte público y cuenta con un CAI de la policía cercano, lo que la convierte en un sitio seguro para vivir. La casa consta de dos niveles, en el primer nivel se encuentra una amplia sala comedor, una cocina equipada, un patio amplio y un baño social. En el segundo nivel, se encuentran dos habitaciones y un baño completo, con la posibilidad de ampliar para otra habitación.",Venta,2 baños,3 habitaciones,"$ 150.000.000
                        ",Casa,80 m²,Casa en venta en Los Parques,"Los Parques, Tunja, Tunja, Boyacá "
,,"Se vende una casa de tres pisos ubicada en el barrio Villa del Rosario en Tunja, Colombia, cerca del Parque Industrial del Sur y sobre la Avenida Circunvalar Ruta Abajo. El primer piso cuenta con una habitación, un baño, cocina, patio de ropas, garaje y un local. El segundo piso tiene tres habitaciones, dos baños, cocina, sala-comedor, patio de ropas y balcón. Por último, el tercer piso cuenta con tres habitaciones, dos baños, estudio, cocina, sala-comedor, patio de ropas y balcón.",Venta,2 baños,3 habitaciones,"$ 380.000.000
                        ",Casa,258 m²,Casa en venta en Los Parques,"Los Parques, Tunja, Tunja, Boyacá "
